#step,cat_index,cat,V 
0,0,Fluid,3
1,0,Fluid,3
2,0,Fluid,3
3,0,Fluid,3
4,0,Fluid,3
5,0,Fluid,3
6,0,Fluid,3
7,0,Fluid,3
8,0,Fluid,3
9,0,Fluid,3
10,0,Fluid,3
11,0,Fluid,3
12,0,Fluid,3
13,0,Fluid,3
14,0,Fluid,3
15,0,Fluid,3
16,0,Fluid,3
17,0,Fluid,3
18,0,Fluid,3
19,0,Fluid,3
20,0,Fluid,3
21,0,Fluid,3
22,0,Fluid,3
23,0,Fluid,3
24,0,Fluid,3
25,0,Fluid,3
26,0,Fluid,3
27,0,Fluid,3
28,0,Fluid,3
29,0,Fluid,3
30,0,Fluid,3
31,0,Fluid,3
32,0,Fluid,3
33,0,Fluid,3
34,0,Fluid,3
35,0,Fluid,3
36,0,Fluid,3
37,0,Fluid,3
38,0,Fluid,3
39,0,Fluid,3
40,0,Fluid,3
41,0,Fluid,3
42,0,Fluid,3
43,0,Fluid,3
44,0,Fluid,3
45,0,Fluid,3
46,0,Fluid,3
47,0,Fluid,3
48,0,Fluid,3
49,0,Fluid,3
50,0,Fluid,3
51,0,Fluid,3
52,0,Fluid,3
53,0,Fluid,3
54,0,Fluid,3
55,0,Fluid,3
56,0,Fluid,3
57,0,Fluid,3
58,0,Fluid,3
59,0,Fluid,3
60,0,Fluid,3
61,0,Fluid,3
62,0,Fluid,3
63,0,Fluid,3
64,0,Fluid,3
65,0,Fluid,3
66,0,Fluid,3
67,0,Fluid,3
68,0,Fluid,3
69,0,Fluid,3
70,0,Fluid,3
71,0,Fluid,3
72,0,Fluid,3
73,0,Fluid,3
74,0,Fluid,3
75,0,Fluid,3
76,0,Fluid,3
77,0,Fluid,3
78,0,Fluid,3
79,0,Fluid,3
80,0,Fluid,3
81,0,Fluid,3
82,0,Fluid,3
83,0,Fluid,3
84,0,Fluid,3
85,0,Fluid,3
86,0,Fluid,3
87,1,Defective,3
88,1,Defective,3
89,1,Defective,3
90,1,Defective,3
91,1,Defective,3
92,1,Defective,3
93,1,Defective,3
94,1,Defective,3
95,1,Defective,3
96,1,Defective,3
97,1,Defective,3
98,1,Defective,3
99,1,Defective,3
100,1,Defective,3
101,1,Defective,3
102,1,Defective,3
103,1,Defective,3
104,1,Defective,3
105,1,Defective,3
106,1,Defective,3
107,1,Defective,3
108,1,Defective,3
109,1,Defective,3
110,1,Defective,3
111,1,Defective,3
112,1,Defective,3
113,1,Defective,3
114,1,Defective,3
115,1,Defective,3
116,1,Defective,3
117,1,Defective,3
118,1,Defective,3
119,1,Defective,3
120,1,Defective,3
121,1,Defective,3
122,1,Defective,3
123,1,Defective,3
124,1,Defective,3
125,1,Defective,3
126,1,Defective,3
127,1,Defective,3
128,1,Defective,3
129,1,Defective,3
130,1,Defective,3
131,1,Defective,3
132,1,Defective,3
133,1,Defective,3
134,1,Defective,3
135,1,Defective,3
136,1,Defective,3
137,1,Defective,3
138,1,Defective,3
139,1,Defective,3
140,1,Defective,3
141,1,Defective,3
142,1,Defective,3
143,1,Defective,3
144,1,Defective,3
145,1,Defective,3
146,1,Defective,3
147,1,Defective,3
148,1,Defective,3
149,1,Defective,3
150,1,Defective,3
151,1,Defective,3
152,1,Defective,3
153,1,Defective,3
154,1,Defective,3
155,1,Defective,3
156,1,Defective,3
157,1,Defective,3
158,1,Defective,3
159,1,Defective,3
160,1,Defective,3
