#step,cat_index,cat,V 
0,0,Fluid,4
1,0,Fluid,4
2,0,Fluid,4
3,0,Fluid,4
4,0,Fluid,4
5,0,Fluid,4
6,0,Fluid,4
7,0,Fluid,4
8,0,Fluid,4
9,0,Fluid,4
10,0,Fluid,4
11,0,Fluid,4
12,0,Fluid,4
13,0,Fluid,4
14,0,Fluid,4
15,0,Fluid,4
16,0,Fluid,4
17,0,Fluid,4
18,0,Fluid,4
19,0,Fluid,4
20,0,Fluid,4
21,0,Fluid,4
22,0,Fluid,4
23,0,Fluid,4
24,0,Fluid,4
25,0,Fluid,4
26,0,Fluid,4
27,0,Fluid,4
28,0,Fluid,4
29,0,Fluid,4
30,0,Fluid,4
31,0,Fluid,4
32,0,Fluid,4
33,0,Fluid,4
34,0,Fluid,4
35,0,Fluid,4
36,0,Fluid,4
37,0,Fluid,4
38,0,Fluid,4
39,0,Fluid,4
40,0,Fluid,4
41,0,Fluid,4
42,0,Fluid,4
43,0,Fluid,4
44,0,Fluid,4
45,0,Fluid,4
46,0,Fluid,4
47,0,Fluid,4
48,0,Fluid,4
49,0,Fluid,4
50,0,Fluid,4
51,0,Fluid,4
52,0,Fluid,4
53,0,Fluid,4
54,0,Fluid,4
55,0,Fluid,4
56,0,Fluid,4
57,0,Fluid,4
58,0,Fluid,4
59,0,Fluid,4
60,0,Fluid,4
61,0,Fluid,4
62,0,Fluid,4
63,0,Fluid,4
64,0,Fluid,4
65,0,Fluid,4
66,0,Fluid,4
67,0,Fluid,4
68,0,Fluid,4
69,0,Fluid,4
70,0,Fluid,4
71,0,Fluid,4
72,0,Fluid,4
73,0,Fluid,4
74,0,Fluid,4
75,0,Fluid,4
76,0,Fluid,4
77,0,Fluid,4
78,0,Fluid,4
79,0,Fluid,4
80,0,Fluid,4
81,0,Fluid,4
82,0,Fluid,4
83,0,Fluid,4
84,0,Fluid,4
85,0,Fluid,4
86,0,Fluid,4
87,0,Fluid,4
88,0,Fluid,4
89,0,Fluid,4
90,0,Fluid,4
91,1,Defective,4
92,1,Defective,4
93,0,Fluid,4
94,0,Fluid,4
95,0,Fluid,4
96,0,Fluid,4
97,1,Defective,4
98,0,Fluid,4
99,0,Fluid,4
100,1,Defective,4
101,1,Defective,4
102,1,Defective,4
103,1,Defective,4
104,1,Defective,4
105,1,Defective,4
106,1,Defective,4
107,1,Defective,4
108,1,Defective,4
109,1,Defective,4
110,1,Defective,4
111,1,Defective,4
112,1,Defective,4
113,1,Defective,4
114,1,Defective,4
115,1,Defective,4
116,1,Defective,4
117,1,Defective,4
118,1,Defective,4
119,1,Defective,4
120,1,Defective,4
121,1,Defective,4
122,1,Defective,4
123,1,Defective,4
124,1,Defective,4
125,1,Defective,4
126,1,Defective,4
127,1,Defective,4
128,1,Defective,4
129,1,Defective,4
130,1,Defective,4
131,1,Defective,4
132,1,Defective,4
133,1,Defective,4
134,1,Defective,4
135,1,Defective,4
136,1,Defective,4
137,1,Defective,4
138,1,Defective,4
139,1,Defective,4
140,1,Defective,4
141,1,Defective,4
142,1,Defective,4
143,1,Defective,4
144,1,Defective,4
145,1,Defective,4
146,1,Defective,4
147,1,Defective,4
148,1,Defective,4
149,1,Defective,4
150,1,Defective,4
151,1,Defective,4
152,1,Defective,4
153,1,Defective,4
154,1,Defective,4
155,1,Defective,4
156,1,Defective,4
157,1,Defective,4
158,1,Defective,4
159,1,Defective,4
160,1,Defective,4
161,1,Defective,4
162,1,Defective,4
163,1,Defective,4
164,1,Defective,4
165,1,Defective,4
166,1,Defective,4
167,1,Defective,4
168,1,Defective,4
169,1,Defective,4
170,1,Defective,4
171,1,Defective,4
172,1,Defective,4
173,1,Defective,4
174,1,Defective,4
175,1,Defective,4
176,1,Defective,4
177,1,Defective,4
178,1,Defective,4
179,1,Defective,4
180,1,Defective,4
181,1,Defective,4
182,1,Defective,4
183,1,Defective,4
184,1,Defective,4
185,1,Defective,4
186,1,Defective,4
187,1,Defective,4
188,1,Defective,4
189,1,Defective,4
190,1,Defective,4
191,1,Defective,4
192,1,Defective,4
193,1,Defective,4
194,1,Defective,4
195,1,Defective,4
196,1,Defective,4
197,1,Defective,4
198,1,Defective,4
199,1,Defective,4
200,1,Defective,4
201,1,Defective,4
202,1,Defective,4
203,1,Defective,4
204,1,Defective,4
205,1,Defective,4
206,1,Defective,4
207,1,Defective,4
208,1,Defective,4
209,1,Defective,4
210,1,Defective,4
211,1,Defective,4
212,1,Defective,4
213,1,Defective,4
214,1,Defective,4
215,1,Defective,4
216,1,Defective,4
217,1,Defective,4
218,1,Defective,4
219,1,Defective,4
220,1,Defective,4
221,1,Defective,4
222,1,Defective,4
223,1,Defective,4
224,1,Defective,4
225,1,Defective,4
226,1,Defective,4
227,1,Defective,4
228,1,Defective,4
229,1,Defective,4
230,1,Defective,4
231,1,Defective,4
232,1,Defective,4
233,1,Defective,4
234,1,Defective,4
235,1,Defective,4
236,1,Defective,4
237,1,Defective,4
238,1,Defective,4
239,1,Defective,4
240,1,Defective,4
241,1,Defective,4
242,1,Defective,4
243,1,Defective,4
244,1,Defective,4
245,1,Defective,4
246,1,Defective,4
247,1,Defective,4
248,1,Defective,4
249,1,Defective,4
250,1,Defective,4
251,1,Defective,4
252,1,Defective,4
253,1,Defective,4
254,1,Defective,4
255,1,Defective,4
256,1,Defective,4
257,1,Defective,4
258,1,Defective,4
259,1,Defective,4
260,1,Defective,4
261,1,Defective,4
262,1,Defective,4
263,1,Defective,4
264,1,Defective,4
265,1,Defective,4
266,1,Defective,4
267,1,Defective,4
268,1,Defective,4
269,1,Defective,4
270,1,Defective,4
271,1,Defective,4
272,1,Defective,4
273,1,Defective,4
274,1,Defective,4
275,1,Defective,4
276,1,Defective,4
277,1,Defective,4
278,1,Defective,4
279,1,Defective,4
