#step,cat_index,cat,V 
0,0,Fluid,5
1,0,Fluid,5
2,0,Fluid,5
3,0,Fluid,5
4,0,Fluid,5
5,0,Fluid,5
6,0,Fluid,5
7,0,Fluid,5
8,0,Fluid,5
9,0,Fluid,5
10,0,Fluid,5
11,0,Fluid,5
12,0,Fluid,5
13,0,Fluid,5
14,0,Fluid,5
15,0,Fluid,5
16,0,Fluid,5
17,0,Fluid,5
18,0,Fluid,5
19,0,Fluid,5
20,0,Fluid,5
21,0,Fluid,5
22,0,Fluid,5
23,0,Fluid,5
24,0,Fluid,5
25,0,Fluid,5
26,0,Fluid,5
27,0,Fluid,5
28,0,Fluid,5
29,0,Fluid,5
30,0,Fluid,5
31,0,Fluid,5
32,0,Fluid,5
33,0,Fluid,5
34,0,Fluid,5
35,0,Fluid,5
36,0,Fluid,5
37,0,Fluid,5
38,0,Fluid,5
39,0,Fluid,5
40,0,Fluid,5
41,0,Fluid,5
42,0,Fluid,5
43,0,Fluid,5
44,0,Fluid,5
45,0,Fluid,5
46,0,Fluid,5
47,0,Fluid,5
48,0,Fluid,5
49,0,Fluid,5
50,0,Fluid,5
51,0,Fluid,5
52,0,Fluid,5
53,0,Fluid,5
54,0,Fluid,5
55,0,Fluid,5
56,0,Fluid,5
57,0,Fluid,5
58,0,Fluid,5
59,0,Fluid,5
60,0,Fluid,5
61,0,Fluid,5
62,0,Fluid,5
63,0,Fluid,5
64,0,Fluid,5
65,0,Fluid,5
66,0,Fluid,5
67,0,Fluid,5
68,0,Fluid,5
69,0,Fluid,5
70,0,Fluid,5
71,0,Fluid,5
72,0,Fluid,5
73,0,Fluid,5
74,0,Fluid,5
75,0,Fluid,5
76,0,Fluid,5
77,0,Fluid,5
78,0,Fluid,5
79,0,Fluid,5
80,0,Fluid,5
81,0,Fluid,5
82,0,Fluid,5
83,0,Fluid,5
84,0,Fluid,5
85,0,Fluid,5
86,0,Fluid,5
87,0,Fluid,5
88,0,Fluid,5
89,0,Fluid,5
90,0,Fluid,5
91,1,Defective,5
92,1,Defective,5
93,0,Fluid,5
94,0,Fluid,5
95,0,Fluid,5
96,0,Fluid,5
97,1,Defective,5
98,0,Fluid,5
99,0,Fluid,5
100,1,Defective,5
101,1,Defective,5
102,1,Defective,5
103,1,Defective,5
104,1,Defective,5
105,1,Defective,5
106,1,Defective,5
107,1,Defective,5
108,1,Defective,5
109,1,Defective,5
110,1,Defective,5
111,1,Defective,5
112,1,Defective,5
113,1,Defective,5
114,1,Defective,5
115,1,Defective,5
116,1,Defective,5
117,1,Defective,5
118,1,Defective,5
119,1,Defective,5
120,1,Defective,5
121,1,Defective,5
122,1,Defective,5
123,1,Defective,5
124,1,Defective,5
125,1,Defective,5
126,1,Defective,5
127,1,Defective,5
128,1,Defective,5
129,1,Defective,5
130,1,Defective,5
131,1,Defective,5
132,1,Defective,5
133,1,Defective,5
134,1,Defective,5
135,1,Defective,5
136,1,Defective,5
137,1,Defective,5
138,1,Defective,5
139,1,Defective,5
140,1,Defective,5
141,1,Defective,5
142,1,Defective,5
143,1,Defective,5
144,1,Defective,5
145,1,Defective,5
146,1,Defective,5
147,1,Defective,5
148,1,Defective,5
149,1,Defective,5
150,1,Defective,5
151,1,Defective,5
152,1,Defective,5
153,1,Defective,5
154,1,Defective,5
155,1,Defective,5
156,1,Defective,5
157,1,Defective,5
158,1,Defective,5
159,1,Defective,5
160,1,Defective,5
161,1,Defective,5
162,1,Defective,5
163,1,Defective,5
164,1,Defective,5
165,1,Defective,5
166,1,Defective,5
167,1,Defective,5
168,1,Defective,5
169,1,Defective,5
170,1,Defective,5
171,1,Defective,5
172,1,Defective,5
173,1,Defective,5
174,1,Defective,5
175,1,Defective,5
176,1,Defective,5
177,1,Defective,5
178,1,Defective,5
179,1,Defective,5
180,1,Defective,5
